Seller Name,Seller Reputation,Card Quality,Card Price
Gierr,Outstanding,Near Mint,'0,27 £'
Sammy3551,Outstanding,Excellent,'0,31 £'
JamesBuckland,Outstanding,Near Mint,'0,35 £'
Hammy,Outstanding,Near Mint,'0,70 £'
artcamp,Outstanding,Near Mint,'1,04 £'
