Seller Name,Seller Reputation,Card Quality,Card Price
czesctuariel,Outstanding,Excellent,'0,53 £'
dcrisp8,Outstanding,Excellent,'0,61 £'
Vevaphon,Outstanding,Near Mint,'0,69 £'
VanillaWarlock,Outstanding,Near Mint,'0,70 £'
AsherSummers,Outstanding,Near Mint,'1,31 £'
Hammy,Outstanding,Near Mint,'3,00 £'
