Seller Name,Seller Reputation,Card Quality,Card Price
Skulka,Outstanding,Near Mint,'0,50 £'
Gediness,Outstanding,Near Mint,'0,53 £'
jasdubs,Outstanding,Near Mint,'0,70 £'
Slawio,Outstanding,Near Mint,'0,88 £'
SwankyPants88,Outstanding,Near Mint,'1,00 £'
Slawio,Outstanding,Excellent,'1,00 £'
artcamp,Outstanding,Excellent,'2,61 £'
Slawio,Outstanding,Excellent,'28,81 £'
