Seller Name,Seller Reputation,Card Quality,Card Price
DeathOfRats,Outstanding,Excellent,'3,00 £'
lxaxbete,Outstanding,Excellent,'3,06 £'
gleesm,Outstanding,Good,'3,06 £'
dcrisp8,Outstanding,Good,'3,49 £'
gazza006,Outstanding,Near Mint,'3,92 £'
